State/Area,MMR2 doses(%) 2014/15
Alabama††,≥93.5
Arizona,94.2
Arkansas§§,88.4
California§§,92.6
Connecticut††,97.0
District of Columbia††,90.4
Florida††¶¶,≥93.3
Georgia††,≥94.0
Idaho††,89.5
Illinois††,94.7
Indiana,89.3
Iowa,≥91.9
Kentucky§§,92.7
Louisiana††,96.8
Maine§§,92.1
Maryland§§,99.1
Massachusetts††§§,94.7
Michigan††,94.3
Minnesota,93.5
Mississippi††,≥99.2
Missouri††,95.8
Montana,94.6
Nebraska††§§,96.0
New Hampshire,≥91.4
New Jersey§§,≥92.3
New York State (including New York City)††§§,98.2
North Carolina,98.5
North Dakota,89.8
Ohio,91.9
Oklahoma§§,90.3
Oregon†† §§,94.1
Pennsylvania§§,91.7
Rhode Island§§,95.7
South Dakota††,97.1
Tennessee††,≥95.1
Texas (including Houston)§§†††,97.4
Utah††,94.0
Vermont††,92.7
Washington,89.4
West Virginia,97.6
Wyoming§§§,96.8
