X,Y,Category,Outbreak,Location,Continent,Lat,Long,Date,Year,Cases,Fatalities,Impact Scale,Source Citation,Source
68.09326,33.4131,Polio,Polio,Afghanistan,Asia,33.4131,68.09326,1/2010-12/2010,2010,25,0,Epidemic,"CDC. ""Progress Toward Poliomyelitis Eradication — Afghanistan and Pakistan, January 2011–August 2012."" Morbidity and Mortality Weekly Report. October 5, 2012.",http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6139a4.htm?s_cid=mm6139a4_e
68.09326,33.4131,Polio,Polio,Afghanistan,Asia,33.4131,68.09326,1/2011-12/2011,2011,80,0,Epidemic,"Global Polio Eradication Initiative. ""Case breakdown by country."" July, 2012.",http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx
66.26953,33.92513,Measles,Measles,Afghanistan,Asia,33.92513,66.26953,1/2011-12/2011,2011,3013,0,Epidemic,"World Health Organization, ""WHO: Measles deaths decline, but elimination progress stalls in some regions,"" January 17, 2013.",http://www.who.int/mediacentre/news/notes/2013/measles_20130117/en/
64.07227,32.54681,Polio,Polio,Afghanistan,Asia,32.54681,64.07227,1/2012-11/2012,2012,37,0,Epidemic,"Global Polio Eradication Initiative. ""Case
breakdown by country."" January 9, 2013.",http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx
70.811995,36.73477,Whooping Cough,Whooping Cough,Afghanistan (Badakhshan),Asia,36.73477,70.811995,12/2012,2012,350,12,Epidemic,"Pakistan News Service, ""Whooping cough kills 12 children,"" December 29, 2012.",http://paktribune.com/news/Whooping-cough-kills-12-children-256076.html
63.76954,35.16713,Measles,Measles,Afghanistan,Asia,35.16713,63.76954,2/2012,2012,6000,20,Epidemic,"Los Angeles Times. ""Measles outbreak kills at least 20 Afghan children."" February 21, 2012.",http://latimesblogs.latimes.com/world_now/2012/02/measles-outbreak-kills-at-least-20-afghan-children.html
64.07227,33.65121,Polio,Polio,Afghanistan,Asia,33.65121,64.07227,1/2013-12/2013,2013,14,0,Epidemic,"Global Polio Eradication Initiative. ""Polio this week - as of 29 January 2014."" January 29, 2014.",http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx
67.70995,33.93911,Polio,Polio,Afghanistan,Asia,33.93911,67.70995,1/2014-12/2014,2014,26,0,Epidemic,"Global Polio Eradication Initiative. ""Polio this week as of 24 December 2014."" December 24, 2014.",http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx
66.6534213,33.94511,Attacks,Announcement,Afghanistan,Asia,33.94511,66.6534213,7/2014,2014,0,0,Announcement,"Graham-Harrison, Emma. ""Afghan Taliban bans polio vaccination teams from southern Helmand."" The Guardian. July 8, 2014.",http://www.theguardian.com/world/2014/jul/08/afghan-taliban-bans-polio-vaccination-teams-southern-helmand-province
67.7034312,33.9340383,Attacks,Violence,Afghanistan,Asia,33.9340383,67.7034312,3/2014,2014,3,3,,"IANS Live. ""Roadside bomb kills 3 polio vaccinators in Afghanistan."" March 11, 2014.",http://www.ianslive.in/index.php?param=news/Roadside_bomb_kills_3_polio_vaccinators_in_Afghanistan-415038/INTERNATIONAL/13
70.57408859,34.0355327,Polio,Polio,Afghanistan,Asia,34.0355327,70.57408859,1/2015-12/2015,2015,9,0,Cluster,"World Health Organization. ""WHO Removes Nigeria from Polio-Endemic List."" September 25, 2015. ",http://www.who.int/mediacentre/news/releases/2015/nigeria-polio/en/
70.621679,34.171831,Attacks,Announcement,Afghanistan,Asia,34.171831,70.621679,10/2015,2015,0,0,Announcement,"Press TV. ""Daesh disrupts polio vaccination in Afghanistan’s Nangarhar: Officials."" October 11, 2015. ",http://www.presstv.ir/Detail/2015/10/11/432898/Afghanistan-Daesh-Nangarhar-polio-vaccination-
