,Location,Population,Cases,cases_pc,State/Area,MMR2 doses(%) 2010_11,MMR2 doses(%) 2011/12,MMR2 doses(%) 2012/13,MMR2 doses(%) 2013/14,MMR2 doses(%) 2014/15,MMR2 doses(%) 2015/16,mean
0,Alabama,4863300,22.0,4.523677338432752e-06,Alabama,94.0,93.6,92.8,92.0,93.5,93.1,94.0
1,Alaska,741894,239.0,0.0003221484470827369,Alaska,,95.5,NaN,94.4,92.7,93.5,
2,Arizona,6931071,12037.0,0.0017366724421088746,Arizona,95.0,94.7,94.5,93.9,94.2,94.2,95.0
3,Arkansas,2988248,2933.0,0.0009815115746751944,Arkansas,98.3,94.9,85.9,86.5,88.4,90.8,98.3
4,California,39250017,19971.0,0.0005088150662457038,California,93.6,93.2,92.7,92.3,92.6,94.5,93.6
5,Colorado,5540545,1707.0,0.0003080924349499914,Colorado,,86.8,85.7,81.7,86.9,87.1,
6,Connecticut,3576452,,,Connecticut,98.5,97.4,97.1,96.9,97.0,97.0,98.5
7,Delaware,952065,50.0,5.251742265496579e-05,Delaware,89.7,96.9,95.7,96.4,97.8,97.6,89.7
8,District of Columbia,681170,,,District of Columbia,96.9,94.0,91.8,89.0,90.4,88.5,96.9
9,Florida,20612439,101.0,4.899953857959264e-06,Florida,91.3,92.6,92.1,93.2,93.3,93.7,91.3
10,Georgia,10310371,249.0,2.4150440367276794e-05,Georgia,99.6,96.6,95.1,94.0,94.0,94.6,99.6
11,Hawaii,1428557,104.0,7.28007352874264e-05,Hawaii,95.0,94.4,97.3,98.7,,91.6,95.0
12,Idaho,1683140,396.0,0.00023527454638354504,Idaho,87.0,89.2,88.4,88.2,89.5,90.2,87.0
13,Illinois,12801539,496.0,3.874534147808322e-05,Illinois,94.5,97.3,95.5,94.7,94.7,94.9,94.5
14,Indiana,6633053,639.0,9.633572956525449e-05,Indiana,92.8,93.3,95.4,92.9,89.3,89.2,92.8
15,Iowa,3134693,287.0,9.155601521424905e-05,Iowa,84.5,91.1,90.5,91.0,91.9,91.8,84.5
16,Kansas,2907289,660.0,0.0002270156148907109,Kansas,90.9,88.2,90.0,86.9,89.2,89.4,90.9
17,Kentucky,4436974,15.0,3.3806824200457337e-06,Kentucky,92.2,92.0,92.4,92.6,92.7,92.2,92.2
18,Louisiana,4681666,20.0,4.271983520396372e-06,Louisiana,96.9,98.1,96.6,96.8,96.8,96.8,96.9
