Speaker,date,speech,Link
Pierre Moscovici,09.12.2015,"Je commence par un mot sur la Grèce et sur Chypre.
Concernant la Grèce, pour ma part j’ai informé l’Eurogroupe de l’état des lieux de la mise en œuvre du programme, qui continue au niveau technique, mais aussi sous la supervision de George Chouliarakis, que nous avons accueilli aujourd’hui pour la première fois en tant que ministre - nous le connaissons bien comme négociateur.
Nous avons notamment discuté des prochaines étapes. En tenant compte des élections, nous estimons qu'une série de mesures pourrait être adoptées à la mi-Octobre, ce qui permettrait le versement d'entre 1 et 2 milliards d'euros en fonction des besoins de financement. Mes services ont déjà eu des échanges avec les autorités à ce sujet, en concertation avec toutes les institutions, sur un projet de programme ambitieux de mesures, prévues par l'accord pour les mois de septembre et d'octobre.
Je dirais que nous sommes avec ce gouvernement dans un processus de dialogue et de travail constructifs qui continuent à caractériser nos échanges avec les autorités dans cette période électorale. La période électorale n’a pas interrompu le travail commun et celui-ci reste de bonne qualité.
J'ai aussi fait l'état des lieux sur l'assistance technique que le nouveau Service d'Assistance pour les Réformes Structurelles a commencé à fournir au gouvernement, suite à ses demandes à la Commission et au FMI.
Ce Service d'Assistance pour les Réformes Structurelles de la Commission ont envoyé très rapidement avec le département des affaires fiscales du FMI une équipe d'experts à Athènes. En outre, le nouveau directeur général de ce service, Maarten Verwey, qui connait bien le sujet puisqu’il était auparavant directeur général adjoint de la DG ECFIN, a déjà tenu des réunions cette semaine avec le ministre des Finances et le ministre de l'Economie.

La prochaine étape clé après les élections sera la première évaluation de la mise en œuvre de l'accord. Comme cela a été dit par Jeroen, le chantier des réformes pour les mois à venir est très important, comprenant l'adoption d'un budget pour 2016, l’accomplissement de la réforme des retraites, la mise en place d'une administration fiscale indépendante et la recapitalisation des banques.
J'estime que nous devrons être ambitieux sur le timing de la conclusion de cette première évaluation, sans diminuer notre ambition sur la substance. La Commission continuera à travailler étroitement avec les autorités grecques et à soutenir leurs efforts de réforme, avant - et il reste une semaine - et évidemment après la formation du prochain gouvernement.

Nous avons également évoqué la mise en œuvre du programme de réformes par le gouvernement Chypriote, suite à la conclusion au niveau technique de la 7ème évaluation du programme Chypriote par nos équipes cet été.
J’ai salué l’engagement ferme des autorités Chypriotes envers ce programme et leur volonté de réaliser des avancées importantes et d’accélérer sur les réformes là où il est encore nécessaire pour renforcer la croissance économique, avec une observation que le ministre des finances chypriote, HarrisGeorgiades, a faite et qui est juste et qui est que la croissance à Chypre a repris plus tôt que nos prévisions. Nous avions prévu que ce serait le dernier Etat-membre de l’Union a être en récession, ce n’est pas le cas, l’économie sera en croissance dans moins 0,5% cette année et 1,4% l'année prochaine. Et donc cela nous a autorisé à conclure cette revue, c’était un travail long, difficile, coopératif et finalement positif.
",http://europa.eu/rapid/press-release_SPEECH-15-5637_en.htm
Pierre Moscovici,11.09.2015,"Merci Jeroen. 
J’ai effectivement informé l’Eurogroupe cet après-midi de l’état des discussions entre les institutions et la Grèce.
J’étais la semaine dernière à Athènes où j’ai eu des discussions constructives et utiles avec les autorités, dont le premier ministre Alexis Tsipras et Euclid Tsakalotos, que nous avons aussi eu le plaisir d’entendre aujourd’hui. 
Je veux souligner à mon tour que la coopération avec les autorités grecques est vraiment bonne, qu'elle est tout à fait à la hauteur de celle que nous avons eue dans le passé avec les autres pays sous programme et qu'il y a une démarche coopérative et que nos équipes travaillent jour et nuit – et quand je dis jour et nuit, je ne n’exagère pas – pour aboutir à un accord sur les points encore ouverts. 
Je veux dire trois choses. 
La première, c’est que la quantité de mesures qu’il est prévu d’adopter pendant les premiers mois de ce programme est très importante et que celles qui ont déjà été adoptées sont loin d'être négligeables
La deuxième, c’est qu’une grande majorité des milestones dont on discute actuellement a déjà été réalisée ou est en cours de finalisation, j'ai pu expliquer que si on prenait déjà ce qui était réalisé ou en cours de finalisation, cela représentait tout de même 80 % de l'ensemble et il y a encore une dizaine de % qui sont dans la bonne voie. Donc, nous avons fait des progrès incontestables et je crois que l'état d'esprit général était pour le constater et pour souhaiter que cela avance et cela avance dans la bonne direction. 
Il reste évidemment certains points encore à clôturer et il faudra que tout le monde fasse un dernier effort pour atteindre cet objectif dans les prochains jours. 
Jeroen a été très précis sur la question première qui est la question de la recapitalisation des banques, il y en a une autre qui est liée, c'est la question des crédits non-performants, qui est essentielle pour faire en sorte que le secteur bancaire soit solide et pour permettre que le crédit abonde l'économie réelle.
C'est un problème et un défi qui est très important et pas seulement pour la Grèce, mais aussi pour d'autres pays dans l'Union européenne et la zone euro.
Un aspect particulier, c'est la loi sur les foreclosures sur laquelle il y a encore des discussions assez intenses qui se déroulent et nous devons trouver là un équilibre, une solution équilibrée qui protège les plus vulnérables, car c'est notre intention commune, il ne peut pas y avoir des gens qui se retrouvent sans toit et en même temps nous devons éviter que certains abusent des protections qui sont en place et c'est la raison pour laquelle nous cherchons une solution. Nous travaillons et nous continuons à travailler.
Je suis confiant dans le fait qu'on puisse trouver une solution acceptable pour tous et qui soit surtout efficace. Et ces deux questions, recapitalisation des banques et foreclosure legislation sont évidemment étroitement liées.
Sur le plan de la situation économique et budgétaire, j'ai profité de l'occasion d'aujourd'hui pour présenter à nos collègues les prévisions d'automne de la Commission européenne qui avaient déjà été développées la semaine dernière et j'ai insisté sur l'aspect zone euro.
",http://europa.eu/rapid/press-release_SPEECH-15-6032_en.htm
Pierre Moscovici,11.23.2015,"Je vais être très bref car Jeroen a dit l'essentiel. Sur la Grèce, j'ai informé l'Eurogroupe des derniers développements sur le programme et des avancées que nous avons pu constater cette dernière semaine.
D'abord, la finalisation des premiers 'milestones' (premières mesures) a été rendue possible grâce notamment à un accord bien équilibré sur la question des saisies immobilières.
Il fallait combiner la stabilité financière et la protection des ménages les plus vulnérables. Je pense que nous sommes parvenus là à un bon accord.
Ensuite, il y a eu aussi des avancées positives au sujet de la recapitalisation des principales banques, à travers le secteur privé. Ceci veut dire – et c'est important - que les fonds publics finalement nécessaires seront bien inférieurs aux 25 milliards fixés comme maximum en août.
Comme l'explique les conclusions de l'Eurogroupe de ce soir, les montants nécessaires seront déboursés suivant les décisions d'aide d'Etat et au cas par cas. Pour résumer, je dirai vraiment que ce sont des bonnes nouvelles pour la Grèce, avec un travail de qualité dont nous devons maintenir le rythme et la teneur.
Il reste beaucoup à faire, notamment l'accord et la mise en œuvre du deuxième paquet de milestones, et ensuite la première revue du programme.
J'ai dit que tout cela devait être fait à mon sens d'ici à la mi-décembre. Il y a encore des discussions difficiles sur des sujets délicats, mais je suis tout à fait confiant que nous aboutirons une fois encore à de bons accords pour permettre à la Grèce d'avancer.
On the draft budgetary plans, I have very little to add to what Jeroen said. This is the third year running that the Eurogroup has met to discuss the Commission's opinions on draft budgetary plans.
",http://europa.eu/rapid/press-release_STATEMENT-15-6151_en.htm
Pierre Moscovici,12.07.2015,"Je vais commencer par quelques mots sur la Grèce.
Depuis notre dernière réunion il y a eu de nouveaux développements encourageants, notamment sur la recapitalisation des quatre banques systémiques grecques, dont deux sans nécessité d’aide d’Etat. Même si nous attendons encore dans les prochains jours les résultats de l’exercice de recapitalisation des banques plus petites, non systémiques –– il est déjà clair que les ressources du programme qui devront être utilisées pour le secteur bancaire seront bien inférieures, très largement inférieures, au plafond qui avait été fixé en août. Ceci est évidemment une bonne nouvelle.
Ce week-end, le budget 2016 a été adopté pour la Grèce. Il vise à atteindre les objectifs budgétaires pour 2016, comme nous les avons agréés cet été. Nos équipes seront sur place à Athènes cette semaine pour discuter plus en détail les mesures qui permettent d'atteindre ces objectifs.
Deuxième nouvelle encourageante : les projections du PIB pour l'année en cours et pour 2016 sont moins mauvaises que celles auxquelles nous nous attendions en août. Le PIB grec devrait maintenant être stable en 2015, et devrait diminuer de 0,7% en 2016. Je vous rappelle qu'au lancement du programme, nous tablions sur une croissance négative de 2,3% en 2015 et de 1,3% en 2016. Ce ne sont que des projections et on voit qu’en  la matière, elles sont assez volatiles, et il faudra voir comment la situation évolue. Mais je préfère que cela évolue dans ce sens-là que dans l'autre.
La priorité désormais, comme l’a dit Jeroen, c’est l’adoption du deuxième paquet de milestones qui devrait être effective pour la fin de cette semaine. Une évaluation positive des mesures adoptées permettrait le déboursement du dernier milliard d’euros de la première tranche d'aide prévue par l’accord du mois d’août. Je compte, comme le PEG, sur le respect de ce délai, car il est clairement dans l’intérêt de la Grèce d'avancer rapidement, et de rattraper le retard de cet automne.
Il faudra ensuite avancer de façon efficace et déterminée pour compléter la première revue du programme. J’espère que ce sera fait en janvier.
Nous savons tous qu’il y aura des décisions difficiles à prendre dans ce contexte, concernant par exemple la stratégie budgétaire et la réforme des retraites. Mais nous savons aussi que la Grèce s’est montrée cette année, après des débuts pas forcément simples, capable de prendre les décisions nécessaires, aussi difficiles soient-elles, quand elles sont dans l’intérêt du pays et les mesures que nous prenons sont dans l’intérêt du pays. La Commission fera tout ce qu’il faut pour soutenir et faciliter les progrès vers un accord.
",http://europa.eu/rapid/press-release_SPEECH-15-6268_en.htm
Pierre Moscovici,01.14.2016,"Tout d’abord, mes meilleurs vœux à chacune et à chacun  pour 2016. qui sera, je l'espère, je le souhaite, une année de reprise économique encore plus forte, et surtout une année où nous saurons répondre aux multiples défis  qui nous attendent, avec des solutions qui seront, j'en suis sûr, je le souhaite véritablement européennes. Je souhaite à Jeroen en particulier bonne chance et bon travail pour sa présidence de l’ECOFIN qui démarre demain. Maintenant comme il est Président à la fois de l'ECOFIN et de l'Eurogroupe, nous l’appelons son excellence, il a une tâche très importante, et je crois que c'est un atout d'avoir les deux présidences à la fois dans cette période délicate pour faire avancer les dossiers aussi bien à 28 qu'à 19. Bonne chance à toi Jeroen et la Commission sera à tes côtés.
Dans ce premier Eurogroupe de l’année, nous avons fait le point sur un certain nombre de questions, dont les programmes  grecs et chypriotes.
Sur la Grèce, le travail continue et nous sommes concentrés sur la première revue du programme. Avec les autres institutions, j’ai informé l'Eurogroupe de l'état des lieux des discussions avec nos partenaires grecs, avant le départ pour Athènes de nos équipes qui j’espère puisse avoir lieu dans les jours qui viennent. Mais comme tu l’as dit, nous avons rappelé aux autorités grecques qu'un préalable était qu’un certain nombre de données budgétaires nous soient fournis maintenant, très rapidement.
Vous le savez tous très bien, la réforme des retraites sera au cœur des discussions dans les semaines qui viennent, même si elle n’est pas la seule question sur la table. J'ai eu l'occasion de souligner que c'était sans aucun doute la principale, et peut-être la plus délicate. Sur la réforme des retraites, nous ne sommes qu'au début de ces échanges, nous devrons faire des progrès rapides. Comme j’ai rappelé à l’Eurogroupe, beaucoup de reformes ont été adoptées ces derniers cinq mois, il y a eu un changement d’état d’esprit et de relations avec le gouvernement grec. Il faut absolument maintenir cet élan réformiste pour renforcer la confiance, les investissements et la croissance dans l’intérêt du peuple grec. Et il me semble qu'il y a un cercle vertueux que nous devons poursuivre, qui passe par des réformes, qui permettent la conclusion de la première revue, ce qui permettra de parler de manière constructive de la question de la dette et avec, maintenant nous le souhaitons tous, la présence du FMI, - et tu l'as dit tout à l'heure- la présence qui est vécue comme une nécessité par tous.
Sur Chypre, nous nous approchons de la fin du programme. Le travail n'est pas achevé, il continue sur la huitième revue du programme. Ce n’était pas le moment de prendre décisions aujourd'hui, mais j'encourage nos partenaires chypriotes à faire tout le nécessaire pour faciliter une conclusion positive dans les meilleurs délais.
Comme tu l’as dit - Jeroen-, il y a 3 ""prior actions"" qui doivent être remplies maintenant, il y en a une que nous considérons en voie de l’être, il en reste en effet deux, même si d'autres institutions considèrent encore les trois. Mais il s'agit de choses importantes et substantielles qui doivent être conduites dans les mois qui viennent, nonobstant le contexte pré-électoral.
",http://europa.eu/rapid/press-release_SPEECH-16-79_en.htm
Pierre Moscovici,03.07.2016,"Grèce
En ce qui concerne la Grèce, je suis très content de l’accord trouvé aujourd’hui qui permettra aux chefs de mission de retourner à Athènes dès demain pour poursuivre les discussions sur la revue du programme. Les institutions ont travaillé intensément ces dernières semaines – entre elles et avec les autorités grecques - pour préparer ce retour.
Ces efforts ont permis cette décision encourageante. Evidemment, il faut maintenant poursuivre le travail sur les plusieurs chantiers. j’en citerai cinq:
	•	l’établissement du fonds de privatisation et d’investissement ;
	•	la réforme de l’impôt sur le revenu ;
	•	la réforme des retraites ;
	•	la création de l’agence indépendante des revenus ;
	•	et la gestion des prêts non-performants.
 Sur le volet budgétaire, l’Eurogroupe a confirmé l’importance d’atteindre l’excédent primaire pour 2018, c’est à dire 3,5% du PIB. Nous allons maintenant travailler ensemble pour conclure un accord sur des mesures qui permettront d’atteindre cet objectif.  
Nous sommes convaincus qu’un bon accord peut être trouvé sur tous ces points ; je crois et j’espère que cet accord puisse être atteint dans les meilleurs délais. Ceci est, je crois, dans l’intérêt de tous - notamment quand on tient compte de la situation migratoire qui met, elle aussi, une pression inédite sur la Grèce et pour laquelle le Conseil Européen est en train de discuter des réponses opérationnelles
Jeroen said that discussions on debt would start in the months to come and of course the European Commission is happy to take part in those discussions
",http://europa.eu/rapid/press-release_SPEECH-16-643_en.htm
Pierre Moscovici,04.22.2016,"Merci Jeroen, ou peut-être devrais-je dire ici à Amsterdam, dank je wel.
Nous avons eu ce matin une longue discussion sur la Grèce, dont Jeroen vous a présenté les conclusions principales. Je vais quand même partager avec vous quelques réflexions du point de vue de la Commission.
 
Tout d’abord, je veux souligner que les discussions qui ont eu lieu ces derniers jours à Washington et à Athènes ont permis de faire des progrès que je qualifierais de très importants. Sur tous les points clef, soit nous avons un accord, soit il ne nous reste que certains détails à régler. C’est le résultat du travail intensif mené par nos équipes, depuis des semaines, ou des mois d'ailleurs, en bonne collaboration avec nos interlocuteurs grecs. Je veux remercier sincèrement les uns et les autres. Il me semble que nous approchons d’une solution équilibrée et positive, ce qui est depuis le début notre objectif.
 
Sur la question des mesures contingentes– les conclusions de la Présidence sont les nôtres: nous travaillerons avec les autres institutions pour faciliter une solution crédible, raisonnable et acceptable pour tous. Les engagements contingents, ils ont justement été définis comme devant être pris si nécessaire, il faudra travailler sur la forme juridique précise et la manière de les mettre en œuvre dans les termes précisés par Jeroen. Ils auraient pour objectif de rassurer tous les partenaires, les créanciers et les investisseurs pour les années à venir.
 
Enfin, sur la question de la dette : nous mettrons notre expertise technique au service des partenaires, bien que ce soit en premier lieu aux Etats-membres et au Mécanisme européen de Stabilité d’examiner cette question. Ce qui est clair, pour la Commission, c’est que cette question devra être abordée si nous voulons tracer un chemin de reprise durable pour l’économie grecque. Et la solution, c’est l’ensemble des 3 dispositifs dont nous venons de parler, les réformes, les mesures contingentes et la question de la dette.
 
En conclusion, je répète que clore la revue du programme grec le plus rapidement possible, c’est dans l’intérêt de tous les européens. J’ai la conviction qu’une telle conclusion est maintenant possible. Pour y aboutir, il faut un paquet de réformes cohérent, économiquement efficace, socialement juste et financièrement équilibré. Nous devons respecter les cibles prévues pas nos propres conclusions en août dernier. Nous nous approchons de cet objectif, il faut maintenant franchir le dernier pas.
",http://europa.eu/rapid/press-release_SPEECH-16-1546_en.htm
Pierre Moscovici,05.09.2016,"Merci Jeroen
J’ai dit en entrant aujourd’hui qu’un accord sur la Grèce était nécessaire. Aujourd’hui, grâce à une discussion positive et constructive, nous avons fait, je crois, des progrès très importants vers cet accord.
Aujourd’hui, c’est la journée de l’Europe, l’anniversaire de la fameuse déclaration de Robert Schuman. C’était une bonne façon de la célébrer que de montrer que les européens étaient capables de traiter ou d'affronter ce problème avec beaucoup de bonne volonté. Schuman avait dit que l’Europe ne se ferait pas d'un coup, mais par des réalisations concrètes, c'était la parole de Jean Monnet également, créant petit à petit une solidarité de fait. On pourrait dire que le même principe vaut pour le programme grec. Et là, nous faisons des réalisations concrètes. Il y a eu d’abord les lois qui ont été adoptées hier soir à Athènes, pour réformer les retraites et l'impôt sur le revenu. Elles auront, ensemble, un impact budgétaire permanent d'environ 2% du PIB grec.
Ces réformes sont le résultat de plusieurs mois de discussions intenses et d’efforts qui finissent par être délivrés par la Grèce. Elles font partie d'un paquet de mesures très important, qui comprend aussi la création d'une agence indépendante pour les revenus, un mécanisme pour gérer les prêts non-performants et l'établissement du nouveau fonds de privatisation et d'investissement. Il était très important que l’Eurogroupe aujourd'hui puisse saluer ce paquet de réformes car il est nécessaire pour que la Grèce puisse être compétitive, puisse retrouver la croissance et attirer les investisseurs. Je vous rappelle que nos dernières prévisions économiques, que j’ai présentées la semaine dernière, ont indiqué que la croissance économique en Grèce sera à nouveau positive dès la deuxième moitié de cette année. Elle pourrait atteindre jusqu’à 2,7% l’an prochain à condition précisément que ce paquet de réformes soit appliqué.
Ces mesures devront aussi être votées dans les prochaines semaines, comme condition préalable à la conclusion de la première revue du programme.
Comme vous le lirez dans le communiqué, il y a un bon accord sur le fonctionnement du mécanisme dit de  contingence, dont les derniers détails seront réglés dans les jours qui viennent par le Euro Working Group. Mais sous ta présidence Jeroen, on a beaucoup avancé aujourd’hui.  Le mécanisme proposé remplit les critères fixés par l'Eurogroupe à Amsterdam, c'est à dire qu’il sera objectif, légiféré en amont, crédible et automatique. Je rappelle que la Commission pense que ces mesures sont vraiment contingentes car les mesures déjà approuvées seront suffisantes pour atteindre l'objectif d’un excédent primaire de 3,5% en 2018. Mais il est certainement utile que ce mécanisme existe pour rassurer tous les partenaires de la crédibilité des engagements pris au cas où il adviendrait que cela ne soit pas suffisant. Je salue donc là-aussi ce progrès important.
",
Pierre Moscovici,09.09.2016,"Merci  Jeroen, c'est aussi un plaisir de se retrouver ici dans ce bel endroit pour cette réunion très bien organisée et de vous retrouver également.
Cet Eurogroupe était notre première occasion de faire le point sur plusieurs sujets. Je vais en évoquer trois rapidement.
D'abord le programme grec, dont nous n'avions pas parlé depuis juillet. C’était une discussion importante, puisque nous savons que cet automne nous devrons prendre plusieurs décisions majeures pour l’avenir de la Grèce.
Comme vous le savez, l'Eurogroupe a décidé en mai que le prochain déboursement de 2,8 milliards d’euros aura lieu quand la Grèce aura rempli un certain nombre d'engagements, les fameux milestones. Ceux-ci portent sur des éléments tout à fait fondamentaux du programme, tels que les privatisations, la réforme du marché de l'énergie ou encore l’établissement de l'agence indépendante des revenus. Ce n’est pas un secret ni un mystère que de dire qu’il y a encore du travail à faire pour compléter ces milestones et dans un monde idéal pour être tout à fait franc, on aurait souhaité les voir plus avancés au stade où nous sommes. Donc je partage tout à fait l’opinion du Président de l'Eurogroupe.
Mais ce que je constate, c'est que d'une part on ait pu voir ces derniers jours une intensification des efforts de la part des autorités grecques et d'autre part que nous sommes d'accord sur le fait que si ces milestones sont complétés pour les prochaines semaines, cela n'aura pas de conséquences pour les prochaines étapes du processus. Donc cela me conduit à une conclusion opérationnelle, qui est:
1 d'espérer que ce travail sera effectivement achevé d'ici la fin du mois, comme Euclide Tsakalotos nous l'a assuré.
2 insister pour qu'il en aille ainsi.
La finalisation des milestones dans les délais prévus faciliterait certainement les échanges pendant  la période qui suit, c'est-à-dire la deuxième revue du programme, qui doit démarrer en octobre.
Nos équipes seront à Athènes déjà la semaine prochaine pour une mission préparatoire. Il est dans l’intérêt de tous, mais avant tout dans l’intérêt du peuple grec, d’avancer le plus vite possible.
Suivant la même dynamique, des progrès rapides et convaincants sur la deuxième revue prépareraient la voie pour des discussions constructives et je l’espère, des décisions positives, sur la dette et sur la participation du FMI au programme d’ici la fin de l'année.
Avec les décisions prises au mois de mai et juin, nous avons je crois définitivement conjuré l'idée d'un Grexit, et c'est une excellente chose mais il reste encore du travail à faire pour passer à une success story, à une pleine réussite. Cette pleine réussite, c'est un processus qui soit complet et qui permette à la Grèce de retrouver tout à fait la croissance et l'emploi. C'est tout l'enjeu du travail que nous faisons avec la conclusion des milestones, la deuxième revue et la recherche d'un accord global incluant la dette. Je reste confiant. Mais, en même temps la Commission européenne est très exigeante.
Le deuxième point que je voudrais évoquer, je vais être très rapide car je vais dans le sens de Jeroen, c'est ce que nous avons évoqué sur les Draft Budgetary Plans et les conséquences de nos décisions de juillet. Tout d'abord, pour ce qui est de la suspension des fonds structurels et d'investissement, je confirme que  nous souhaitons que le dialogue structuré  prévu avec le Parlement Européen intervienne le plus rapidement possible.  Nous n'avons pas de temps à perdre. Bien sûr ce dialogue est consultatif, c'est au Conseil que revient le dernier mot, mais c'est important que toutes les institutions soit pleinement associées. Un sujet majeur dans la façon dont nous traitons le dossier grec, c'est la question de la démocratie et il est fondamental que ce processus avance.
Deuxième remarque , elle porte sur l' Espagne, il est clair que dans le contexte politique actuel, nous voyons certaines limites à ce qu’il est possible de faire mais il est clair aussi que nous attendions qu'il y ait un avant-projet de budget sur la base d'un non-changement de politique ou de poursuite des politiques décidées qui soit déposé d’ici au 15 octobre. Et c'est ce que nous a confirmé d'ailleurs le Ministre Luis de Guindos; contrairement  à ce que j'avais pu lire, c'est bien dans ce sens-là que nous allons et qu'il faut aller.
",http://europa.eu/rapid/press-release_SPEECH-16-3000_en.htm
Pierre Moscovici,11.07.2016,"Thank you Jeroen. Bonsoir. Je commence par la Grèce, où depuis notre dernière réunion le 10 octobre nous avons encore vu des progrès très encourageants. D'abord, les paiements des arriérés grecs ont permis au Mécanisme Européen de Stabilité de procéder au déboursement des 2,8 milliards d'euros qui restaient à verser à la Grèce, suite à la conclusion de la première revue. C'est une bonne nouvelle pour l'économie grecque.
Ensuite, nos équipes, avec celle du FMI et de la BCE, ont participé à une mission à Athènes du 18 au 27 octobre pour lancer la deuxième revue du programme. Cette mission a vu des bons progrès dans les discussions sur plusieurs sujets, comme l'ouverture des marchés de produits, le renforcement de l'environnement des affaires ou encore la modernisation de l'administration publique.
Je peux vous confirmer que les équipes des institutions se rendront de nouveau à Athènes dès la semaine prochaine pour poursuivre les discussions. Dans le même esprit, le but sera d'arriver à un accord sur les éléments nécessaires pour clôturer la deuxième revue. Sans minimiser la complexité des sujets qui sont sur la table, je suis confiant qu'on puisse aboutir à un bon accord dans les meilleurs délais. De notre côté en tout cas, la volonté est là. Mon sentiment est qu'il y a aussi une volonté de coopérer de la part des autorités grecques. Et je me rendrai moi-même à Athènes à la fin du mois pour faire le point avec les autorités avant la réunion du 5 décembre qui sera évidemment très importante.
Ensuite vous les connaissez les prochaines étapes: elles sont résumées dans le communiqué de l'Eurogroupe du 25 mai. Il est certainement souhaitable, et je crois absolument possible, d'aboutir à un accord aussi global que possible en décembre. Cela enverrait un signal de stabilité et de confiance pour commencer 2017 qui sera l'année de la reprise de la croissance en Grèce, comme nos prévisions économiques que je présenterai mercredi le confirmeront.
[GRECE – ASSISTANCE TECHNIQUE]
Nous avons aussi informé l'Eurogroupe de l'assistance technique que la Commission fournit à l'administration publique grecque depuis août 2015, avec le soutien de plusieurs Etats-membres. L'objectif il a été de soutenir la préparation de plusieurs engagements prévus par le programme ; c'est donc une cohérence. Parmi ceux-ci : la création de l'agence indépendante des revenus et du nouveau fonds de privatisation ; la consolidation des fonds de pension grecs et l'adoption de politiques pour lutter contre la corruption et la fraude. Dans la prochaine phase, les efforts passeront du soutien à l'adoption des mesures au soutien à leur mis en œuvre.
Je peux vous dire que la coordination de ce support technique entre la Commission et la Grèce a elle aussi bien fonctionné et que la coopération a été constructive même si il est souhaitable d'améliorer les structures de planification et de coordination au sein des administrations même, dans certains cas.
La Commission est prête à soutenir les efforts des autorités grecques dans ce sens. Je voudrais aussi encourager les Etats-membres, comme ils le font, à continuer de fournir des experts de haut niveau capables de partager avec les autorités grecques l'expertise des pays qui ont adopté des reformes similaires. Nous savons tous qu'en Grèce il y a le problème de voter les réformes mais aussi et surtout le problème de les mettre en œuvre.
",http://europa.eu/rapid/press-release_SPEECH-16-3616_en.htm
