Speaker,date,speech,Link
Common ,06.15.2017,"The Eurogroup welcomes that agreement has been reached between Greece and the institutions on a policy package of structural measures, which aims at shoring up growth and addressing the underlying structural imbalances in public finances and paves the way for a successful completion of the second review of the ESM programme.
The Eurogroup also welcomes the adoption by the Greek parliament of the agreed prior actions for the second review, notably the ambitious post-programme fiscal package, which is composed of an income tax reform broadening the tax base and a pension reform. Together they deliver net savings of 2% of GDP which will underpin the fiscal targets post-2018. It also contains a contingent expansionary package to enhance the growth potential of the Greek economy and to improve the Greek social safety net that will be implemented provided that the agreed medium-term targets are met. We also welcome the adoption of a package of decisive measures to effectively address non-performing loans (NPL), such as establishing an active secondary market, an Out-of-Court Debt Workout framework, as well as all actions to make the Hellenic Corporation of Assets and Participations (HCAP) fully operational.
Moreover, the policy package includes a large number of structural measures aimed at enhancing the growth potential of the Greek economy. With regard to labour market reforms, the Eurogroup welcomes the adopted legislation safeguarding previous reforms on collective bargaining and bringing collective dismissals in line with best EU practices. The Eurogroup also commends the Greek authorities for adopting legislation to implement OECD recommendations to strengthen competition, to facilitate investment licensing and to further open-up regulated professions. We welcome the commitment by Greece to continue on its reform path.
The Eurogroup also commends Greece and the European Commission for the exceptional mobilisation of EU Funds to boost investment in support of jobs and growth since July 2015, for a total amount of nearly EUR 11 bn. The Eurogroup calls upon the Greek authorities to work closely with the European Commission to ensure that additional EUR 970 million made available following the review of the national cohesion policy funding envelopes for the period from 2017 - 2020 are fully absorbed. Furthermore, we commit to continue to provide high-level experts to support the design and implementation of reforms through technical assistance projects.
In parallel the Eurogroup invites Greece together with the institutions as well as relevant third parties by the end of this year to develop and support a holistic growth enhancing strategy including improvements of the investment climate. Further options for mobilizing additional funds from national development banks and other international financial institutions (such as the EIB and EBRD) should be explored. 
The Eurogroup supports the efforts of the Greek authorities to work with the European institutions on the creation of a National Development Bank that would coordinate the implementation of development and promotional activities. The Eurogroup calls upon Greece, the European Commission and IFIs to work together to strengthen the pipelines of viable investment projects. Efforts should be made to step up the technical assistance from the European Investment Advisory Hub with a view to facilitating the preparation of investable projects and the establishment of investment platforms.
Today the Eurogroup discussed again the sustainability of Greek public debt with the objective that Greece regains market access at sustainable rates. The Eurogroup reconfirmed the commitments and principles contained in the statements of May 2016. We noted that the implementation of the agreed short term debt measures already contributes to a substantial lowering of the gross financing needs (GFN) of Greece over the medium and long term and significantly improves the profile of Greek public debt.
The Eurogroup welcomes the commitment of Greece to maintain a primary surplus of 3.5% of GDP until 2022 and thereafter a fiscal trajectory that is consistent with its commitments under the European fiscal framework, which would be achieved according to the analysis of the European Commission with a primary surplus of equal to or above but close to 2% of GDP in the period from 2023 to 2060.
The Eurogroup concluded that debt sustainability should be attained within the framework of the debt measures envisaged by the Eurogroup in May 2016. In this regard, the Eurogroup recalled the assessment of debt sustainability with reference to the agreed benchmarks for gross financing needs: GFN should remain below 15% of GDP in the medium term and below 20% of GDP thereafter so as to ensure that debt remains on a sustained downward path.
The Eurogroup recalls that it stands ready to implement a second set of debt measures to the extent needed to meet the aforementioned GFN objectives, in line with the Eurogroup statement of 25 May 2016. This includes abolishing the step-up interest rate margin related to the debt buy-back tranche of the 2nd Greek programme, the use of 2014 SMP profits from the ESM segregated account, the restoration of the transfer of the equivalent of ANFA and SMP profits to Greece (as of budget year 2017), liability management operations within the current ESM programme envelope taking due account of the exceptionally high burden of some Member States, and EFSF re-profiling within the maximum Programme Authorised Amount.
The Eurogroup stands ready to implement, without prejudice to the final DSA, extensions of the weighted average maturities (WAM) and a further deferral of EFSF interest and amortization by between 0 and 15 years. As agreed in May 2016, these measures shall not lead to additional costs for other beneficiary Member States.
In order to take into account possible differences between growth assumptions in the DSA and actual growth developments over the post-programme period, the EFSF re-profiling would be recalibrated according to an operational growth-adjustment mechanism to be agreed. This mechanism will be fully specified as part of the medium-term debt relief measures, following the successful implementation of the ESM programme to make sure the GFN benchmarks defined above are respected and to ensure that the ceiling established by the EFSF Programme Authorised Amount is respected. The Eurogroup mandates the EWG to work further on this as of 2018.
At the end of the programme, conditional upon its successful implementation and to the extent necessary, this second set of measures will be implemented. The exact calibration of these measures will be confirmed at the end of the programme by the Eurogroup on the basis of an updated DSA in cooperation with the European institutions, so as to ensure debt sustainability and compliance with the European fiscal policy framework. This DSA, while based on cautious assumptions, will also take into account the impact of growth enhancing reforms and investment initiatives.
For the long term, the Eurogroup recalls the May 2016 agreement that in the case of an unexpectedly more adverse scenario a contingency mechanism on debt could be activated. The activation of this mechanism would be considered subject to a decision by the Eurogroup and could entail measures such as a further EFSF re-profiling and capping and deferral of interest payments.
Acknowledging the staff level agreement reached with Greece on policies, IMF management will shortly recommend to the IMF's Executive Board the approval in principle of Greece's request for a 14-month  Standby Arrangement.  The IMF welcomes the further specification of the debt measures given today by Member States, and agrees that it represents a major step towards Greek debt sustainability. The IMF arrangement will become effective with resources made available in accordance with its terms, provided that the programme stays on track, when IMF staff can assure to the IMF's Executive Board that there is an agreement on debt relief measures, that, appropriately calibrated at the end of the programme, would secure debt sustainability.
In view of the full implementation of all prior actions and subject to the completion of national procedures, the ESM governing bodies are expected to approve the supplemental MoU and the disbursement of the third tranche of the ESM programme amounting to EUR 8.5 bn to cover current financing needs, arrears clearing, and possibly room to start building up a cash buffer.
In view of the ending of the current programme in August 2018, the Eurogroup commits to provide support for Greece's return to the market: the Eurogroup agrees that future disbursements should cater not only for the need to clear arrears but also to further build up cash buffers to support investor's confidence and facilitate market access.
",http://www.consilium.europa.eu/en/press/press-releases/2017/06/15-eurogroup-statement-greece/
Common ,04.01.2014,"Eurogroup Statement on Greece 
The Eurogroup welcomes the conclusion of the fourth review mission under the second macroeconomic adjustment programme for Greece. The Eurogroup reiterates its appreciation for the efforts made by the Greek citizens and notes with satisfaction that the fiscal performance is on track to exceed the programme targets in 2013 and meet them in 2014, allowing Greece to provide additional financing for debt servicing and to undertake some one-off spending in 2014 to bolster social cohesion. Good progress is also being made on structural reforms. 
At the same time, the reform process will have to continue in order to enhance the growth potential of the Greek economy by creating job opportunities and a healthy investment environment. In this context, the Eurogroup welcomes the authorities' strong commitment to the implementation of a wide range of product (goods and services) market and institutional reforms. Concrete measures to liberalise transport and rental markets and to open up closed professions are being prepared. Bold and frontloaded cuts in social security contributions are expected to improve competitiveness and boost growth. In addition, the authorities have committed to far-reaching energy market reforms and to enhancing the privatisation of public corporate and real estate assets, which would provide financing to the government while unlocking private investment. It is also important that continued progress is made in the area of public administration reforms, in order to improve the quality and efficiency of the services that the public sector provides to its citizens, as well as with labour market reforms. 
The Eurogroup acknowledges the actions and commitments of the authorities to ensure the resilience of the banking sector, which will support the economic recovery. Following the publication of the Bank of Greece's supervisory stress test and asset quality review, two of the four core banks have already successfully raised more than the capital required by the supervisor (under the baseline scenario) fully from private investors. This is an encouraging sign of improving market confidence. We now expect that also the remaining two core banks will raise their capital needs swiftly first and foremost from private investors. 
The Eurogroup considers that the necessary elements are now in place to launch national procedures with a view to pave the way for the approval of the next EFSF instalment of EUR 8.3 billion. The instalment is foreseen to be disbursed in three tranches. A first tranche of EUR 6.3 billion is expected to be approved by the EWG and the EFSF's Board of Directors, following the full implementation of the prior actions and finalisation of Member States' relevant national procedures. The disbursements of the second and the third tranches, amounting to EUR 1 billion each, are linked to the implementation of milestones agreed between Greece and the Troika institutions. 
The programme is fully financed for the next 12 months, including by drawing on temporary sources of financing such as deposits of general government subsectors. Euro area Member States recall their commitment to provide adequate support until Greece regains market access, provided Greece fully complies with the requirements and objectives of the adjustment programme. This will be further addressed in the context of the next review. 
01.04.2014 
",http://www.consilium.europa.eu/en/meetings/eurogroup/2014/04/01/
Common ,05.05.2014,"Eurogroup statement on Greece 
5.05.2014 
The Eurogroup welcomes the recent positive macroeconomic developments in the Greek economy. The renewed growth prospects for Greece reflect the remarkable adjustment efforts undertaken by the Greek citizens and authorities. The economic adjustment programme is starting to pay off and is proving to be a cornerstone for Greece's return to sustainable and balanced growth. Fiscal performance continues to be strong, as reflected in the primary surplus for 2013 as defined in the programme. Moreover, the recent return of the Hellenic Republic and of Greek banks to the international capital markets is an encouraging sign of increasing market confidence and is an important first step towards regaining broader market access. Fully implementing the reforms of the programme will be crucial to that end. 
We further welcome that the Greek authorities have complied with the prior actions required for the first EFSF disbursement of the current review. The EFSF Board of Directors approved the disbursement of EUR 6.3 billion, which took place on 28 April. The IMF Executive Board is foreseen to decide in June on the IMF disbursement of around EUR 3.6 billion linked to the review. We call on the authorities to carry the current positive reform momentum forward to maintain the programme on track and avoid accumulating delays. 
As foreseen under the programme, the significant adjustment made allows the Greek economy to enter now a new phase, moving from stabilisation and recovery to sustainable growth. The long-term strategy to foster growth presented to us by the Greek authorities shows a clear ownership and determination to continue the reform path. The Eurogroup supports this strategy that builds on the adjustment programme by stepping up policies that raise private investment, facilitate economic activity and eventually lead to more job creation. We invite Greece to develop a more detailed action plan consistent with the existing programme. 
Against this background, the Eurogroup welcomes the progress made by the European Commission and the Greek authorities with the preparation of the Partnership Agreement for the European Structural and Investment Funds. In the next seven years, these funds will provide around EUR 19 
billion of co-financing transfers for the Greek economy with the aim to create a competitive, dynamic and inclusive economy, driven by entrepreneurship and innovation. Moreover, the Greek government has expressed the ambition to attract and facilitate private investment. In this context, the recently established Institution for Growth will help to pool financial resources from private and public organisations to provide financing to SMEs and for public investment projects. 
The Eurogroup also welcomes the contribution to programme implementation provided by technical assistance to Greece under the coordination of the Task Force for Greece (TFGR). We stress the need for a continuation and stepping up of technical assistance in support of growth-related reforms (including via fighting tax evasion and corruption and supporting capacity building of national public administration). Euro area Member States will assess their possibilities for getting into closer 
1 
partnerships with Greece in this regard. We encourage Greece to make use of the new funding arrangement for technical assistance beyond 2014. We recommend Greece, in coordination with the Commission (including the Task Force for Greece) to provide an overview of external financing and technical support available and to reflect on the potential role of relevant international financial institutions in providing their expertise and, where applicable, funds. 
Euro area Member States reaffirm their commitment to provide adequate support until Greece regains full market access, provided Greece fully complies with the requirements and objectives of the adjustment programme. The relative merits of possible debt sustainability measures, as stated by the Eurogroup on 27 November 2012, will be considered in the context of the next review. 
2 
3 
",http://www.consilium.europa.eu/en/meetings/eurogroup/2014/11/06/
Common ,12.08.2014,"The Eurogroup welcomes the recent positive macroeconomic developments in the Greek economy. The improving growth prospects for Greece reflect the remarkable adjustment efforts undertaken by the Greek citizens and authorities. The economic adjustment programme is starting to pay off and is proving to be a cornerstone for Greece's return to sustainable and balanced growth and job creation. 
We also welcome the progress made by the Greek authorities in order to address the outstanding issues to conclude the fifth review, as assessed by the European Commission (EC), the ECB and the IMF. However we take note that despite this recent progress the current review can no longer be completed before the end of year. Therefore, the current review will need to continue into early 2015 until the staff-level agreement is reached and all the prior actions are deemed to be fulfilled. This would pave the way for the disbursement of the EUR 1.8 billion outstanding under the current EFSF programme. 
Therefore, the Eurogroup would be favourably disposed to a request by Greece for a technical extension of 2 months of the current EFSF programme. The Eurogroup asked the institutions to prepare a factual report on the state of play of the current review and gave a mandate to the EWG to report to Member States in order to launch the national procedures with a view to reach a final decision on the extension of the current EFSF Master Financial Facility Agreement by the EFSF Board of Directors by the end of the year. 
Moreover, we were informed by the EC, the ECB and the IMF that it would be prudent to extend the availability period of the EFSF bonds in the HFSF buffer until the end of February 2015, in parallel to the extension of the EFSF programme. The Eurogroup looks favourably at such an extension. Following a request by Greece, the EFSF can make the necessary arrangements before the end of the year. 
The Eurogroup urges the Greek authorities to ensure a rapid and full implementation of all the reform measures necessary to conclude the fifth review. These reforms are key for the smooth functioning of the Greek economy and will contribute to bringing about sustained growth and employment and to secure the sustainability of public finances, thereby fully delivering on the programme objectives. 
Euro area Member States remain favourably disposed to granting Greece an ESM precautionary credit line (ECCL), if Greece were to request this and subject to the finalisation of the reform measures that are still pending under the current review, continued involvement of the IMF, and the completion of relevant national and EU procedures. 
",http://www.consilium.europa.eu/en/meetings/eurogroup/2014/12/08/
Common ,02.12.2015,"At an extraordinary meeting on 11 February the Eurogroup discussed the situation in Greece, in particular the way forward considering the upcoming expiry of Greece's current economic adjustment programme.
The newly appointed Greek Minister for Finance, Yanis Varoufakis, outlined his government's position. The ministers had a constructive discussion, which will continue at the next Eurogroup meeting on Monday, 16 February 2015.
",http://www.consilium.europa.eu/en/meetings/eurogroup/2015/02/11/
Common ,02.16.2015,"Greece
Eurozone finance ministers met to discuss the way forward for Greece in the context of the upcoming expiry of the country's current economic adjustment programme. The discussions were based on the technical work carried out over the past few days, setting out the differences between the current programme and the plans of the Greek government. 


""The best way forward is an extension of the current programme"", said Jeroen Dijsselbloem, Eurogroup President at the press conference following the meeting. He went on to highlight that there was a degree of flexibility within the programme, which could be negotiated between Greece and the institutions. 
These negotiations could start when the Greek authorities submit a request for an extension of the programme accompanied by a clear set of commitments outlined by the ministers during the meeting. 
",http://www.consilium.europa.eu/en/meetings/eurogroup/2015/02/16/
Common ,02.20.2015,"The Eurogroup reiterates its appreciation for the remarkable adjustment efforts undertaken by Greece and the Greek people over the last years. During the last few weeks, we have, together with the institutions, engaged in an intensive and constructive dialogue with the new Greek authorities and reached common ground today. 
The Eurogroup notes, in the framework of the existing arrangement, the request from the Greek authorities for an extension of the Master Financial Assistance Facility Agreement (MFFA), which is underpinned by a set of commitments. The purpose of the extension is the successful completion of the review on the basis of the conditions in the current arrangement, making best use of the given flexibility which will be considered jointly with the Greek authorities and the institutions. This extension would also bridge the time for discussions on a possible follow-up arrangement between the Eurogroup, the institutions and Greece. 
The Greek authorities will present a first list of reform measures, based on the current arrangement, by the end of Monday February 23. The institutions will provide a first view whether this is sufficiently comprehensive to be a valid starting point for a successful conclusion of the review. This list will be further specified and then agreed with the institutions by the end of April.  
Only approval of the conclusion of the review of the extended arrangement by the institutions in turn will allow for any disbursement of the outstanding tranche of the current EFSF programme and the transfer of the 2014 SMP profits. Both are again subject to approval by the Eurogroup. 
In view of the assessment of the institutions the Eurogroup agrees that the funds, so far available in the HFSF buffer, should be held by the EFSF, free of third party rights for the duration of the MFFA extension. The funds continue to be available for the duration of the MFFA extension and can only be used for bank recapitalisation and resolution costs. They will only be released on request by the ECB/SSM. 
In this light, we welcome the commitment by the Greek authorities to work in close agreement with European and international institutions and partners. Against this background we recall the independence of the European Central Bank. We also agreed that the IMF would continue to play its role. 
The Greek authorities have expressed their strong commitment to a broader and deeper structural reform process aimed at durably improving growth and employment prospects, ensuring stability and resilience of the financial sector and enhancing social fairness. The authorities commit to implementing long overdue reforms to tackle corruption and tax evasion, and improving the efficiency of the public sector. In this context, the Greek authorities undertake to make best use of the continued provision of technical assistance. 
The Greek authorities reiterate their unequivocal commitment to honour their financial obligations to all their creditors fully and timely. 
The Greek authorities have also committed to ensure the appropriate primary fiscal surpluses or financing proceeds required to guarantee debt sustainability in line with the November 2012 Eurogroup statement. The institutions will, for the 2015 primary surplus target, take the economic circumstances in 2015 into account. 
In light of these commitments, we welcome that in a number of areas the Greek policy priorities can contribute to a strengthening and better implementation of the current arrangement. The Greek authorities commit to refrain from any rollback of measures and unilateral changes to the policies and structural reforms that would negatively impact fiscal targets, economic recovery or financial stability, as assessed by the institutions. 
On the basis of the request, the commitments by the Greek authorities, the advice of the institutions, and today's agreement, we will launch the national procedures with a view to reaching a final decision on the extension of the current EFSF Master Financial Assistance Facility Agreement for up to four months by the EFSF Board of Directors. We also invite the institutions and the Greek authorities to resume immediately the work that would allow the successful conclusion of the review.
We remain committed to provide adequate support to Greece until it has regained full market access as long as it honours its commitments within the agreed framework.
",http://www.consilium.europa.eu/en/meetings/eurogroup/2015/02/20/
Common ,03.09.2015,"The Eurogroup discussed the current review of the Greece's commitments under the existing arrangement. Ministers agreed that Greece and the European Commission, the European Central Bank and the International Monetary Fund would begin discussions on Wednesday (11 March), in Brussels.  

Technical teams from the institutions will be welcome in Athens to support this process.
",http://www.consilium.europa.eu/en/meetings/eurogroup/2015/03/09/
Common ,04.24.2015,"The Eurogroup was briefed by the institutions (the European Commission, the European Central Bank and the International Monetary Fund) on the state of play of their discussions with the Greek authorities. The aim of the talks is to reach an agreement on a comprehensive list of reforms, which Greece is expected to complete according to the current agreement. 

Successful completion of this task is key to closing the final review of the current programme and to unlocking the payment of the remaining tranche of the agreed financial assistance. The Eurogroup calls for a much swifter progress in the discussions and will evaluate the situation at its upcoming meeting in May. 
",http://www.consilium.europa.eu/en/meetings/eurogroup/2015/04/24/
Common ,05.11.2015,"The Eurogroup was briefed on the ongoing discussions between the Greek authorities and the European Commission, the European Central Bank and the International Monetary Fund on Greece's comprehensive list of reforms.

The Eurogroup noted that the talks advanced and became more efficient, but that more time was needed to bridge the remaining gaps and to reach a comprehensive agreement. The disbursement of the remaining financial assistance to Greece can only take place once these reforms have been agreed and a review by the three institutions has concluded that they  have been implemented.

",http://www.consilium.europa.eu/en/meetings/eurogroup/2015/05/11/
