,Author,Twitter Retweets,Impact,Reach,Url,Twitter Followers,Impressions,quantile
0,markodjuric,552,76,272686,http://twitter.com/markodjuric/statuses/1002067349153964037,13227,428417,upper quantile
1,sloba_milosevic,291,146,98728,http://twitter.com/sloba_milosevic/statuses/992302512106455040,405338,1062769,upper quantile
2,AsomakumBrother,122,73,61943,http://twitter.com/AsomakumBrother/statuses/1001832458676002816,8973,250588,upper quantile
3,artbymane,103,916,68303,http://twitter.com/artbymane/statuses/1000747621043064832,812,99002,upper quantile
4,rasadangubic,98,212,42872,http://twitter.com/rasadangubic/statuses/993080039435591680,2317,92736,upper quantile
5,KancelarijaKiM,80,35,43912,http://twitter.com/KancelarijaKiM/statuses/994856635934879744,3327,65067,upper quantile
6,krpedja,68,121,36247,http://twitter.com/krpedja/statuses/1001780525059670018,3706,105051,upper quantile
7,Dr_A_N_A,41,50,19960,http://twitter.com/Dr_A_N_A/statuses/993932914973925376,1376,32161,upper quantile
8,krcko016le,30,105,16569,http://twitter.com/krcko016le/statuses/993176682780643328,6942,48970,upper quantile
9,KmNovine,27,500,21666,http://twitter.com/KmNovine/statuses/999709121954942976,894,134246,upper quantile
10,SmiljanBanjac,25,51,13592,http://twitter.com/SmiljanBanjac/statuses/996392081475227648,11314,32201,upper quantile
11,javor_ivanjica,25,442,17367,http://twitter.com/javor_ivanjica/statuses/1001890915286429697,2107,62070,upper quantile
12,MarijaSpas,22,44,11058,http://twitter.com/MarijaSpas/statuses/993440015941238784,501,16740,upper quantile
13,mondoportal,21,1726,35324,http://twitter.com/mondoportal/statuses/1001043359929073664,39586,1239325,upper quantile
14,DijanaV,19,68,9562,http://twitter.com/DijanaV/statuses/1001917096249479170,15500,33167,middle quantile
15,SolzenjicinH,19,57,10635,http://twitter.com/SolzenjicinH/statuses/995722315961946112,15948,35942,upper quantile
16,tomskimrav,18,47,9730,http://twitter.com/tomskimrav/statuses/996369251698139138,1114,17409,middle quantile
17,sanjailic5954,17,171,11119,http://twitter.com/sanjailic5954/statuses/994923061722927105,1283,15909,upper quantile
18,JoanaLegend,17,52,11441,http://twitter.com/JoanaLegend/statuses/998517332766052357,10704,55164,upper quantile
19,timotije1922,16,85,9510,http://twitter.com/timotije1922/statuses/993931929698304000,862,12694,middle quantile
20,clrc03dd3,15,159,10694,http://twitter.com/clrc03dd3/statuses/994509170312470528,489,14517,upper quantile
21,SerbianInfidel,14,231,9693,http://twitter.com/SerbianInfidel/statuses/996113805217271809,3933,29901,middle quantile
22,somboracmarko,14,64,6555,http://twitter.com/somboracmarko/statuses/995629844800196608,157533,166355,middle quantile
23,BiljanaLuki,13,110,8466,http://twitter.com/BiljanaLuki/statuses/1001146620447281152,74046,170998,middle quantile
24,SvetlanaMaric21,13,50,8251,http://twitter.com/SvetlanaMaric21/statuses/994922435903410178,2991,18374,middle quantile
25,ourfreedomtoday,12,221,26645,http://twitter.com/ourfreedomtoday/statuses/1001893049444773888,12761,361183,upper quantile
26,Madam_Karenjina,12,195,9075,http://twitter.com/Madam_Karenjina/statuses/994258349284786176,4864,28088,middle quantile
27,sretenzivkovic2,11,161,8070,http://twitter.com/sretenzivkovic2/statuses/997930915039989763,755,26842,middle quantile
28,SlobodarskaSrbi,11,54,5721,http://twitter.com/SlobodarskaSrbi/statuses/995191513742225409,11794,26029,middle quantile
29,socijalisti,11,105,6849,http://twitter.com/socijalisti/statuses/994876225897271296,14356,52138,middle quantile
30,KoSSevnews,11,573,14799,http://twitter.com/KoSSevnews/statuses/999333332050698245,2472,62319,upper quantile
31,SlobaGeorgiev,10,102,7050,http://twitter.com/SlobaGeorgiev/statuses/1001810631979302912,25351,64302,middle quantile
32,radijacija,10,46,5088,http://twitter.com/radijacija/statuses/998934200274378752,6018,13645,middle quantile
33,Beogradski_glas,10,134,6499,http://twitter.com/Beogradski_glas/statuses/1001008997078626305,2048,9174,middle quantile
34,zorancicak,10,122,7038,http://twitter.com/zorancicak/statuses/996828719959494656,28099,83162,middle quantile
35,tantunmangun,9,45,5126,http://twitter.com/tantunmangun/statuses/994105717228482561,950,8136,middle quantile
36,paramecijumka,9,55,5995,http://twitter.com/paramecijumka/statuses/994231272422694912,91683,106780,middle quantile
37,marijaaat85,9,51,5477,http://twitter.com/marijaaat85/statuses/997413535452889088,4626,14883,middle quantile
38,zvoncica2610,9,45,5628,http://twitter.com/zvoncica2610/statuses/996665503140732928,962,11565,middle quantile
39,saricnego,9,77,5193,http://twitter.com/saricnego/statuses/993935544001482752,334,23415,middle quantile
40,gradjanskifront,8,45,1900,http://twitter.com/gradjanskifront/statuses/993461619639373824,1560,29289,lower quantile
41,CrveniOblak77,8,254,7621,http://twitter.com/CrveniOblak77/statuses/1001198912441585664,503,6566,middle quantile
42,StojanovicSonja,8,186,6503,http://twitter.com/StojanovicSonja/statuses/993801045548650497,2921,24927,middle quantile
43,bobanov_,8,251,8231,http://twitter.com/bobanov_/statuses/992055687227363328,1294,16959,middle quantile
44,UnaHajdari,8,139,6011,http://twitter.com/UnaHajdari/statuses/1000793362704879619,3259,16262,middle quantile
45,Ksenija71806612,7,82,3988,http://twitter.com/Ksenija71806612/statuses/995387576285564928,682,8245,middle quantile
46,SergioJokanovic,7,30,5299,http://twitter.com/SergioJokanovic/statuses/1001137762492235776,21,10159,middle quantile
47,MalaLoknica,7,44,4501,http://twitter.com/MalaLoknica/statuses/995285928125091840,9091,17042,middle quantile
